product_category_name,total_orders,total_revenue,average_price,item_count,average_review_score,growth_rate,revenue_potential,order_demand,growth_potential,customer_satisfaction,profit_proxy,opportunity_score,opportunity_level,opportunity_type,data_quality_confidence,sample_size_confidence,metric_completeness,confidence_score
beleza_saude,8836,1441248.07,130.16353050672183,9670,3.0,77700.0,100.0,93.82899628252788,100.0,60.0,9.769000203285879,85.43414909096056,High,product,99.3646,100.0,100.0,99.68
cama_mesa_banho,9417,1241681.72,93.29632748538012,11115,3.0,11060.0,86.15010847626087,100.0,14.330708661417324,60.0,6.333094837557968,61.061019191988386,Medium,product,99.3646,100.0,100.0,99.68
moveis_decoracao,6449,902511.79,87.56449364050876,8334,3.0,34300.0,62.61173771077766,68.47583643122677,44.20697412823397,60.0,5.798906262100973,53.53411457930858,Medium,product,99.3646,100.0,100.0,99.68
relogios_presentes,5624,1305541.61,201.13598397596394,5991,3.0,7740.000000000001,90.58198062914595,59.71322357939458,10.062670737586373,60.0,16.383405791707677,52.256908347159786,Medium,product,99.3646,100.0,100.0,99.68
esporte_lazer,7720,1156656.48,114.34428538363615,8641,3.0,2194.736842105263,80.2493624297461,81.97557089750399,2.933937769057063,60.0,8.294697171165135,52.1316556126806,Medium,product,99.3646,100.0,100.0,99.68
informatica_acessorios,6689,1059272.4,116.51390315574294,7827,3.0,2033.3333333333333,73.4909137025978,71.0249601699416,2.72644490867213,60.0,8.496898605877853,47.33481524102056,Low,product,99.3646,100.0,100.0,99.68
utilidades_domesticas,5884,778397.77,90.78814761631247,6964,3.0,6144.444444444444,53.99823291111986,62.47477429633563,8.011498562679666,60.0,6.099340498630994,40.43097213795288,Low,product,99.3646,100.0,100.0,99.68
telefonia,4199,394883.32,71.21397799779977,4545,3.0,24500.0,27.382355383237677,44.577801380775355,31.608548931383577,60.0,4.275090517340484,33.68880324474509,Low,product,99.3646,100.0,100.0,99.68
automotivo,3897,685384.32,139.9575230224321,4235,3.0,3100.0,47.543105617622075,41.370154009559215,4.097702072955166,60.0,10.681768970071575,32.69807260292237,Low,product,99.3646,100.0,100.0,99.68
cool_stuff,3632,719329.95,167.357968914647,3796,3.0,1400.0,49.89893010008109,38.555496548061605,1.9122609673790776,60.0,13.23540286006045,32.41015869489054,Low,product,99.3646,100.0,100.0,99.68
ferramentas_jardim,3518,584219.21,111.63019553715206,4347,3.0,2340.0,40.52225365792478,37.344662772172065,3.1206813434035032,60.0,8.041752681147704,29.077187394386097,Low,product,99.3646,100.0,100.0,99.68
brinquedos,3886,561372.55,117.54836045664318,4117,3.0,520.0,38.9366969612184,41.253319171534784,0.7809738068455729,60.0,8.593306716596803,29.048913004620292,Low,product,99.3646,100.0,100.0,99.68
bebes,2885,480118.0,134.34417292006526,3065,3.0,1772.7272727272727,33.29763655193479,30.621348911311735,2.3914218514893433,60.0,10.158622700329694,25.258345926313673,Low,product,99.3646,100.0,100.0,99.68
perfumaria,3162,453338.71,116.73731207955542,3419,3.0,590.0,31.43915559268113,33.56346255974509,0.8709625582516471,60.0,8.517719602784899,24.892124917582013,Low,product,99.3646,100.0,100.0,99.68
pcs,181,232799.43,1098.3405418719212,203,3.0,900.0,16.133744110617496,1.9012214551248008,1.2694841716214045,60.0,100.0,21.6327996398718,Low,product,99.3646,100.0,100.0,99.68
papelaria,2311,277741.71,91.75336909018674,2517,3.0,2171.4285714285716,19.25273537757964,24.5246946362188,2.9039737379766306,60.0,6.189296051789735,19.251917312001723,Low,product,99.3646,100.0,100.0,99.68
eletronicos,2550,206825.06,57.913530899891576,2767,3.0,5650.0,14.33112454625976,27.063197026022305,7.375863731319299,60.0,3.035531402323575,19.212655693445686,Low,product,99.3646,100.0,100.0,99.68
pet_shop,1710,253876.65,110.0746841294299,1947,3.0,4075.0,17.596501788061538,18.141263940520446,5.351116824682629,60.0,7.896783994774895,17.941724127196714,Low,product,99.3646,100.0,100.0,99.68
moveis_escritorio,1273,342532.65,162.0110585452395,1691,3.0,300.0,23.749222339039274,13.499734466277216,0.4981520167121967,60.0,12.737087920961908,17.897947114555325,Low,product,99.3646,100.0,100.0,99.68
construcao_ferramentas_construcao,748,165328.0,155.7347578040904,929,3.0,12300.0,11.451231320001456,7.9235262878385555,15.924795114896353,60.0,12.152156772782515,16.612665423962415,Low,product,99.3646,100.0,100.0,99.68
fashion_bolsas_e_acessorios,1864,184273.54,75.24546528803546,2031,3.0,1425.0,12.766050546081708,19.776951672862452,1.9443998071669613,60.0,4.650812234129418,15.725234257244807,Low,product,99.3646,100.0,100.0,99.68
instrumentos_musicais,628,210137.37,281.616,680,3.0,3800.0,14.560998641732251,6.648964418481147,4.997589587015909,60.0,23.883885790984557,15.668326672992395,Low,product,99.3646,100.0,100.0,99.68
eletroportateis,630,206668.83,280.7784683357879,679,3.0,316.66666666666663,14.320282194566932,6.670207116303771,0.519577909904119,60.0,23.805830519545403,14.474113966876592,Low,product,99.3646,100.0,100.0,99.68
malas_acessorios,1034,170875.21,128.5988827838828,1092,3.0,1500.0,11.836207328027864,10.961232076473712,2.0408163265306123,60.0,9.623180041575631,13.763692303317004,Low,product,99.3646,100.0,100.0,99.68
consoles_games,1062,177293.24,138.49183817062445,1137,3.0,459.99999999999994,12.281618186602486,11.258629845990441,0.703840591354652,60.0,10.545171831311771,13.729620248448194,Low,product,99.3646,100.0,100.0,99.68
eletrodomesticos_2,234,123917.92,476.1249579831933,238,3.0,114.28571428571428,8.577374500004705,2.464152947424323,0.2594063497164895,60.0,42.01149834759008,13.455252009045623,Low,product,99.3646,100.0,100.0,99.68
portateis_casa_forno_e_cafe,75,50193.57,624.2856578947368,76,3.0,1600.0,3.460909473921017,0.7753584705257568,2.169371685682147,60.0,55.81960154222044,13.356415535450324,Low,product,99.3646,100.0,100.0,99.68
alimentos,450,36664.44,57.63413725490196,510,3.0,10200.0,2.52198874449662,4.758364312267658,13.225132572714124,60.0,3.0094928085247896,11.553420125446909,Low,product,99.3646,100.0,100.0,99.68
agro_industria_e_comercio,182,78374.07,342.12485849056606,212,3.0,600.0,5.416634314730755,1.9118428040361128,0.8838180941668005,60.0,29.523117805451616,11.276217299515118,Low,product,99.3646,100.0,100.0,99.68
eletrodomesticos,764,94990.43,103.98382619974059,771,3.0,814.2857142857142,6.569808602477149,8.093467870419543,1.1592938637772319,60.0,7.329135523303075,11.017046566622646,Low,product,99.3646,100.0,100.0,99.68
casa_construcao,490,96920.36,137.56311258278146,604,3.0,1400.0,6.703745617151266,5.183218268720127,1.9122609673790776,60.0,10.458617577963306,10.830855251966511,Low,product,99.3646,100.0,100.0,99.68
construcao_ferramentas_iluminacao,244,48663.8,135.1315789473684,304,3.0,5500.0,3.354743536846604,2.5703664365374403,7.183030692591998,60.0,10.232006422784885,10.46797298561483,Low,product,99.3646,100.0,100.0,99.68
