dataset,column,invalid_or_missing_dates,total_values,timeliness_score
order_items,shipping_limit_date,0,112650,100.0
order_reviews,review_creation_date,0,99224,100.0
order_reviews,review_answer_timestamp,0,99224,100.0
orders,order_purchase_timestamp,0,99441,100.0
orders,order_approved_at,160,99441,99.8391
orders,order_delivered_carrier_date,1783,99441,98.207
orders,order_delivered_customer_date,2965,99441,97.0183
orders,order_estimated_delivery_date,0,99441,100.0
